ping_id,unit_id,date_cst2,zone_id,name,lat,long
10267008,737380792,7/28/2016 7:43,635,EL MAR 21 A3DM FEDERAL COM,32.03569239,-103.5836398
10270264,737380792,7/28/2016 8:12,216,TXL 37,31.89852767,-103.8057808
10277858,737380792,7/28/2016 9:21,2345,KENTZEL STATE 42 SL,31.91209887,-103.8024933
10280253,737380792,7/28/2016 9:43,2343,KENTZEL 42 STATE SWD,31.90490817,-103.7973739
10290796,737380792,7/28/2016 11:10,2038,Hobbs HQ,32.69394952,-103.1499318
10299858,737380792,7/28/2016 12:25,2173,Hobbs Production Offic e,32.69579206,-103.1472816
10334684,737380792,7/28/2016 22:03,727,SALADO DRAW 10 A3PA FEDERAL,32.05113727,-103.5523758
10334918,737380792,7/28/2016 22:33,661,SALADO DRAW 10 A3DM FEE,32.06428784,-103.5666102
10334948,737380792,7/28/2016 22:36,666,SALADO DRAW `9` DM FEDERAL COM,32.06424511,-103.5841318
12220571,737380792,8/24/2016 4:56,2038,Hobbs HQ,32.69394952,-103.1499318
12225329,737380792,8/24/2016 6:25,2372,RED HILLS WEST `21` DM FEDERAL COM,32.03496529,-103.6868692
12225956,737380792,8/24/2016 6:32,659,RED HILLS WEST 21 `BO` FEDERAL COM,32.03501772,-103.6783816
12235041,737380792,8/24/2016 7:53,2385,RED HILLS WEST `22` FEDERAL COM,32.03443015,-103.6697006
12238562,737380792,8/24/2016 8:20,2384,RED HILLS WEST `22` CN FEDERAL COM,32.03504429,-103.6634744
12238960,737380792,8/24/2016 8:23,2366,RED HILLS WEST 22 `BO` FEDERAL COM,32.03503876,-103.6611112
12242359,737380792,8/24/2016 8:46,2368,RED HILLS WEST UNIT,32.05047896,-103.682818
12244926,737380792,8/24/2016 9:05,660,RED HILLS WEST 8 FEDERAL,32.05094372,-103.6893717
12284817,737380792,8/24/2016 13:47,16,COLTRANE 36 B2PA STATE,32.08059154,-103.7247366
12292839,737380792,8/24/2016 15:06,516,BEBOP 36 W1MD STATE,32.07992979,-103.7382609
12298307,737380792,8/24/2016 16:05,347,BEBOP BPE STATE COM,32.0921461,-103.7386106
12299894,737380792,8/24/2016 16:20,2128,BIG SINKS 1 A3OB FEE,32.06359935,-103.7289561
12303610,737380792,8/24/2016 17:06,409,BIG SINKS 1 A2 PA FEDERAL COM,32.06346038,-103.72405
12306242,737380792,8/24/2016 17:49,653,PADUCA 7 6 A2ED FEDERAL COM,32.05800386,-103.7193692
12310842,737380792,8/24/2016 19:31,658,RED HILLS WEST 10 FEDERAL,32.06390834,-103.6645605
12313902,737380792,8/24/2016 21:00,2173,Hobbs Production Offic e,32.69579206,-103.1472816
4413539,737380792,8/28/2016 6:49,2173,Hobbs Production Offic e,32.69579206,-103.1472816
4417734,737380792,8/28/2016 8:05,721,RED HILLS WEST UNIT,32.06389875,-103.6702576
4421401,737380792,8/28/2016 9:06,2371,RED HILLS WEST UNIT `3`,32.06360467,-103.6652845
4425136,737380792,8/28/2016 10:03,16,COLTRANE 36 B2PA STATE,32.08059154,-103.7247366
4426421,737380792,8/28/2016 10:24,516,BEBOP 36 W1MD STATE,32.07992979,-103.7382609
4427641,737380792,8/28/2016 10:46,65,BIG SINKS FED COM,32.09213328,-103.7460688
4428483,737380792,8/28/2016 10:58,2128,BIG SINKS 1 A3OB FEE,32.06359935,-103.7289561
4431212,737380792,8/28/2016 11:42,653,PADUCA 7 6 A2ED FEDERAL COM,32.05800386,-103.7193692
4439790,737380792,8/28/2016 14:21,2386,RED HILLS WEST `8` FEDERAL COM,32.05047063,-103.7024211
4444477,737380792,8/28/2016 16:25,660,RED HILLS WEST 8 FEDERAL,32.05094372,-103.6893717
4448059,737380792,8/28/2016 18:08,659,RED HILLS WEST 21 `BO` FEDERAL COM,32.03501772,-103.6783816
4449838,737380792,8/28/2016 19:32,2385,RED HILLS WEST `22` FEDERAL COM,32.03443015,-103.6697006
